crop_path,video,dataset,label,split
data_xception/crops/celebdf/0/id0_0004_0.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_1.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_2.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_3.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_4.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_5.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0004_7.jpg,id0_0004,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_0.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_1.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_3.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_4.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_5.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_6.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0001_7.jpg,id0_0001,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_0.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_1.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_2.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_3.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_4.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_5.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_6.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0002_7.jpg,id0_0002,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_0.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_1.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_2.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_3.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_5.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_6.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0005_7.jpg,id0_0005,celebdf,0,test
data_xception/crops/celebdf/0/id0_0009_0.jpg,id0_0009,celebdf,0,test
