video_path,source_id,dataset,manipulation,compression,true_label,pred_prob,pred_label,split,model,seed
000.mp4,000,FFpp,deepfakes,c23,0,0.000188,0,test,PRISM_50D_indist,42
003.mp4,003,FFpp,deepfakes,c23,0,0.008039,0,test,PRISM_50D_indist,42
012.mp4,012,FFpp,deepfakes,c23,0,0.373382,0,test,PRISM_50D_indist,42
015.mp4,015,FFpp,deepfakes,c23,0,0.776827,1,test,PRISM_50D_indist,42
024.mp4,024,FFpp,deepfakes,c23,0,0.941545,1,test,PRISM_50D_indist,42
026.mp4,026,FFpp,deepfakes,c23,0,0.00029,0,test,PRISM_50D_indist,42
029.mp4,029,FFpp,deepfakes,c23,0,0.029542,0,test,PRISM_50D_indist,42
035.mp4,035,FFpp,deepfakes,c23,0,0.004156,0,test,PRISM_50D_indist,42
036.mp4,036,FFpp,deepfakes,c23,0,0.158364,0,test,PRISM_50D_indist,42
048.mp4,048,FFpp,deepfakes,c23,0,0.003897,0,test,PRISM_50D_indist,42
047.mp4,047,FFpp,deepfakes,c23,0,0.005749,0,test,PRISM_50D_indist,42
044.mp4,044,FFpp,deepfakes,c23,0,0.000616,0,test,PRISM_50D_indist,42
073.mp4,073,FFpp,deepfakes,c23,0,0.451409,0,test,PRISM_50D_indist,42
078.mp4,078,FFpp,deepfakes,c23,0,0.000679,0,test,PRISM_50D_indist,42
102.mp4,102,FFpp,deepfakes,c23,0,0.004254,0,test,PRISM_50D_indist,42
114.mp4,114,FFpp,deepfakes,c23,0,0.011369,0,test,PRISM_50D_indist,42
128.mp4,128,FFpp,deepfakes,c23,0,0.252283,0,test,PRISM_50D_indist,42
138.mp4,138,FFpp,deepfakes,c23,0,0.001364,0,test,PRISM_50D_indist,42
135.mp4,135,FFpp,deepfakes,c23,0,0.001857,0,test,PRISM_50D_indist,42
142.mp4,142,FFpp,deepfakes,c23,0,0.00168,0,test,PRISM_50D_indist,42
141.mp4,141,FFpp,deepfakes,c23,0,0.003635,0,test,PRISM_50D_indist,42
161.mp4,161,FFpp,deepfakes,c23,0,0.056293,0,test,PRISM_50D_indist,42
154.mp4,154,FFpp,deepfakes,c23,0,0.0022,0,test,PRISM_50D_indist,42
169.mp4,169,FFpp,deepfakes,c23,0,0.006422,0,test,PRISM_50D_indist,42
170.mp4,170,FFpp,deepfakes,c23,0,0.424386,0,test,PRISM_50D_indist,42
176.mp4,176,FFpp,deepfakes,c23,0,0.000187,0,test,PRISM_50D_indist,42
186.mp4,186,FFpp,deepfakes,c23,0,8.4e-05,0,test,PRISM_50D_indist,42
190.mp4,190,FFpp,deepfakes,c23,0,0.002191,0,test,PRISM_50D_indist,42
214.mp4,214,FFpp,deepfakes,c23,0,0.021591,0,test,PRISM_50D_indist,42
220.mp4,220,FFpp,deepfakes,c23,0,0.067492,0,test,PRISM_50D_indist,42
219.mp4,219,FFpp,deepfakes,c23,0,0.004666,0,test,PRISM_50D_indist,42
227.mp4,227,FFpp,deepfakes,c23,0,0.001532,0,test,PRISM_50D_indist,42
249.mp4,249,FFpp,deepfakes,c23,0,0.005308,0,test,PRISM_50D_indist,42
257.mp4,257,FFpp,deepfakes,c23,0,0.010941,0,test,PRISM_50D_indist,42
255.mp4,255,FFpp,deepfakes,c23,0,0.000399,0,test,PRISM_50D_indist,42
278.mp4,278,FFpp,deepfakes,c23,0,0.001403,0,test,PRISM_50D_indist,42
280.mp4,280,FFpp,deepfakes,c23,0,0.129095,0,test,PRISM_50D_indist,42
288.mp4,288,FFpp,deepfakes,c23,0,0.011836,0,test,PRISM_50D_indist,42
306.mp4,306,FFpp,deepfakes,c23,0,0.458024,0,test,PRISM_50D_indist,42
308.mp4,308,FFpp,deepfakes,c23,0,0.030221,0,test,PRISM_50D_indist,42
314.mp4,314,FFpp,deepfakes,c23,0,0.000419,0,test,PRISM_50D_indist,42
321.mp4,321,FFpp,deepfakes,c23,0,0.083022,0,test,PRISM_50D_indist,42
319.mp4,319,FFpp,deepfakes,c23,0,0.165459,0,test,PRISM_50D_indist,42
347.mp4,347,FFpp,deepfakes,c23,0,0.005349,0,test,PRISM_50D_indist,42
352.mp4,352,FFpp,deepfakes,c23,0,0.396736,0,test,PRISM_50D_indist,42
358.mp4,358,FFpp,deepfakes,c23,0,0.001012,0,test,PRISM_50D_indist,42
367.mp4,367,FFpp,deepfakes,c23,0,0.001086,0,test,PRISM_50D_indist,42
371.mp4,371,FFpp,deepfakes,c23,0,0.26149,0,test,PRISM_50D_indist,42
379.mp4,379,FFpp,deepfakes,c23,0,0.476481,0,test,PRISM_50D_indist,42
380.mp4,380,FFpp,deepfakes,c23,0,0.002163,0,test,PRISM_50D_indist,42
381.mp4,381,FFpp,deepfakes,c23,0,0.006452,0,test,PRISM_50D_indist,42
