video,label,p,target,dataset
494,0,0.0289118606597185,deepfakes,FFpp
429,0,0.3506311476230621,deepfakes,FFpp
114,0,0.2363674342632293,deepfakes,FFpp
445,0,0.8559530377388,deepfakes,FFpp
154,0,0.0455816015601158,deepfakes,FFpp
714,0,0.0637609660625457,deepfakes,FFpp
321,0,0.2031446397304535,deepfakes,FFpp
176,0,0.01891915127635,deepfakes,FFpp
691,0,0.3661973476409912,deepfakes,FFpp
683,0,0.3082950413227081,deepfakes,FFpp
219,0,0.0626021698117256,deepfakes,FFpp
924,0,0.1376225054264068,deepfakes,FFpp
423,0,0.3581245243549347,deepfakes,FFpp
880,0,0.1778237670660019,deepfakes,FFpp
141,0,0.1775948852300644,deepfakes,FFpp
000,0,0.045865099877119,deepfakes,FFpp
347,0,0.0386462993919849,deepfakes,FFpp
625,0,0.5367851853370667,deepfakes,FFpp
257,0,0.908007025718689,deepfakes,FFpp
623,0,0.1498708426952362,deepfakes,FFpp
855,0,0.1608702838420868,deepfakes,FFpp
896,0,0.4765973687171936,deepfakes,FFpp
379,0,0.3546620905399322,deepfakes,FFpp
974,0,0.0944634675979614,deepfakes,FFpp
675,0,0.0118234734982252,deepfakes,FFpp
706,0,0.1195600256323814,deepfakes,FFpp
404,0,0.2177191972732544,deepfakes,FFpp
452,0,0.8651598691940308,deepfakes,FFpp
739,0,0.0442071855068206,deepfakes,FFpp
169,0,0.0727486088871955,deepfakes,FFpp
851,0,0.5532581806182861,deepfakes,FFpp
422,0,0.0583117455244064,deepfakes,FFpp
973,0,0.274008959531784,deepfakes,FFpp
868,0,0.2204491645097732,deepfakes,FFpp
480,0,0.3687618374824524,deepfakes,FFpp
190,0,0.0673691034317016,deepfakes,FFpp
932,0,0.0388418436050415,deepfakes,FFpp
233,0,0.1540016829967498,deepfakes,FFpp
454,0,0.196198433637619,deepfakes,FFpp
161,0,0.115322045981884,deepfakes,FFpp
945,0,0.0327970422804355,deepfakes,FFpp
479,0,0.0843904018402099,deepfakes,FFpp
314,0,0.3129585981369018,deepfakes,FFpp
650,0,0.6460891962051392,deepfakes,FFpp
380,0,0.0847667083144187,deepfakes,FFpp
352,0,0.2546976208686828,deepfakes,FFpp
724,0,0.930852234363556,deepfakes,FFpp
376,0,0.0540614314377307,deepfakes,FFpp
507,0,0.1744882464408874,deepfakes,FFpp
661,0,0.3320482671260834,deepfakes,FFpp
306,0,0.5957251787185669,deepfakes,FFpp
660,0,0.0087854387238621,deepfakes,FFpp
388,0,0.3870165348052978,deepfakes,FFpp
707,0,0.1616432070732116,deepfakes,FFpp
015,0,0.5639312267303467,deepfakes,FFpp
731,0,0.2554370760917663,deepfakes,FFpp
608,0,0.1909914165735244,deepfakes,FFpp
371,0,0.082037016749382,deepfakes,FFpp
919,0,0.259911298751831,deepfakes,FFpp
384,0,0.0329634472727775,deepfakes,FFpp
386,0,0.021277355030179,deepfakes,FFpp
214,0,0.2203377038240432,deepfakes,FFpp
249,0,0.0477170534431934,deepfakes,FFpp
755,0,0.0738500952720642,deepfakes,FFpp
701,0,0.3182818591594696,deepfakes,FFpp
170,0,0.0330746173858642,deepfakes,FFpp
579,0,0.4126731157302856,deepfakes,FFpp
953,0,0.0133446529507637,deepfakes,FFpp
550,0,0.3612429499626159,deepfakes,FFpp
128,0,0.4780140221118927,deepfakes,FFpp
995,0,0.0580260083079338,deepfakes,FFpp
158,0,0.4117361009120941,deepfakes,FFpp
048,0,0.0509445220232009,deepfakes,FFpp
319,0,0.016712162643671,deepfakes,FFpp
955,0,0.1112854480743408,deepfakes,FFpp
917,0,0.1360901743173599,deepfakes,FFpp
255,0,0.1265587657690048,deepfakes,FFpp
862,0,0.5497850775718689,deepfakes,FFpp
552,0,0.4851734042167663,deepfakes,FFpp
399,0,0.1362384706735611,deepfakes,FFpp
949,0,0.3987933695316314,deepfakes,FFpp
821,0,0.0618610568344593,deepfakes,FFpp
485,0,0.635936975479126,deepfakes,FFpp
227,0,0.6244409680366516,deepfakes,FFpp
488,0,0.0868109986186027,deepfakes,FFpp
135,0,0.0634694471955299,deepfakes,FFpp
630,0,0.6637055277824402,deepfakes,FFpp
705,0,0.4762090444564819,deepfakes,FFpp
044,0,0.1762909591197967,deepfakes,FFpp
278,0,0.3443033099174499,deepfakes,FFpp
670,0,0.0668032690882682,deepfakes,FFpp
073,0,0.0428116992115974,deepfakes,FFpp
288,0,0.1344414949417114,deepfakes,FFpp
