video_path,label
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/331_260.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/FaceSwap/c23/videos/560_557.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Face2Face/c23/videos/356_324.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/NeuralTextures/c23/videos/051_332.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/840_800.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/270_297.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/FaceSwap/c23/videos/459_430.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/060_088.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Face2Face/c23/videos/147_055.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/NeuralTextures/c23/videos/989_993.mp4,1
/home/iiitn/Datasets/FaceForensics++/original_sequences/youtube/c23/videos/737.mp4,0
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/FaceSwap/c23/videos/688_645.mp4,1
/home/iiitn/Datasets/FaceForensics++/original_sequences/youtube/c23/videos/543.mp4,0
/home/iiitn/Datasets/FaceForensics++/original_sequences/youtube/c23/videos/273.mp4,0
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Face2Face/c23/videos/426_287.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/982_004.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/NeuralTextures/c23/videos/251_375.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/NeuralTextures/c23/videos/028_068.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/NeuralTextures/c23/videos/020_344.mp4,1
/home/iiitn/Datasets/FaceForensics++/manipulated_sequences/Deepfakes/c23/videos/543_559.mp4,1
